央视,#genre#
CCTV16HD,http://117.86.48.47:7777/rtp/239.49.8.31:8000
CCTV17HD,http://117.86.48.47:7777/rtp/239.49.8.52:9810
CCTV17HD,http://117.86.48.47:7777/rtp/239.49.8.132:6000
CCTV5+HD,http://117.86.48.47:7777/rtp/239.49.8.18:9610
CCTV1,http://117.86.48.47:7777/rtp/239.49.0.145:8000
CCTV1,http://117.86.48.47:7777/rtp/239.49.0.1:8000
CCTV1,http://117.86.48.47:7777/rtp/239.49.0.91:8000
CCTV1,http://117.86.48.47:7777/rtp/239.49.1.1:6000
CCTV10,http://117.86.48.47:7777/rtp/239.49.1.10:6000
CCTV11,http://117.86.48.47:7777/rtp/239.49.1.11:6000
CCTV12,http://117.86.48.47:7777/rtp/239.49.1.12:6000
CCTV13,http://117.86.48.47:7777/rtp/239.49.1.13:6000
CCTV14,http://117.86.48.47:7777/rtp/239.49.1.14:6000
CCTV15,http://117.86.48.47:7777/rtp/239.49.1.15:6000
CCTV17,http://117.86.48.47:7777/rtp/239.49.1.7:6000
CCTV2,http://117.86.48.47:7777/rtp/239.49.1.2:6000
CCTV3,http://117.86.48.47:7777/rtp/239.49.1.3:6000
CCTV4,http://117.86.48.47:7777/rtp/239.49.1.4:6000
CCTV5,http://117.86.48.47:7777/rtp/239.49.1.5:6000
CCTV6,http://117.86.48.47:7777/rtp/239.49.1.6:6000
CCTV7,http://117.86.48.47:7777/rtp/239.49.1.254:6000
CCTV8,http://117.86.48.47:7777/rtp/239.49.1.8:6000
CCTV中等教育,http://117.86.48.47:7777/rtp/239.49.0.43:8000
卫视,#genre#
重庆卫视HD,http://58.35.95.16:9898/rtp/233.18.204.100:5140
江苏卫视HD,http://58.35.95.16:9898/rtp/233.18.204.85:5140
浙江卫视HD,http://58.35.95.16:9898/rtp/233.18.204.84:5140
东方卫视HD,http://58.35.95.16:9898/rtp/233.18.204.51:5140
深圳卫视HD,http://58.35.95.16:9898/rtp/233.18.204.89:5140
北京卫视HD,http://58.35.95.16:9898/rtp/233.18.204.87:5140
山东卫视HD,http://58.35.95.16:9898/rtp/233.18.204.91:5140
天津卫视HD,http://58.35.95.16:9898/rtp/233.18.204.97:5140
贵州卫视HD,http://58.35.95.16:9898/rtp/233.18.204.101:5140
云南卫视HD,http://58.35.95.16:9898/rtp/233.18.204.106:5140
广西卫视HD,http://58.35.95.16:9898/rtp/233.18.204.107:5140
黑龙江卫视HD,http://58.35.95.16:9898/rtp/233.18.204.90:5140
安徽卫视HD,http://58.35.95.16:9898/rtp/233.18.204.93:5140
山西卫视HD,http://58.35.95.16:9898/rtp/233.18.204.211:5140
江西卫视HD,http://58.35.95.16:9898/rtp/233.18.204.95:5140
湖北卫视HD,http://58.35.95.16:9898/rtp/233.18.204.92:5140
旅游卫视HD,http://58.35.95.16:9898/rtp/233.18.204.102:5140
陕西卫视HD,http://58.35.95.16:9898/rtp/233.18.204.223:5140
东南卫视HD,http://58.35.95.16:9898/rtp/233.18.204.94:5140
吉林卫视HD,http://58.35.95.16:9898/rtp/233.18.204.108:5140
辽宁卫视HD,http://58.35.95.16:9898/rtp/233.18.204.96:5140
内蒙古卫视HD,http://58.35.95.16:9898/rtp/233.18.204.217:5140
湖南卫视HD,http://58.35.95.16:9898/rtp/233.18.204.86:5140
广东卫视HD,http://58.35.95.16:9898/rtp/233.18.204.88:5140
河南卫视HD,http://58.35.95.16:9898/rtp/233.18.204.105:5140
河北卫视HD,http://58.35.95.16:9898/rtp/233.18.204.103:5140
宁夏卫视HD,http://58.35.95.16:9898/rtp/233.18.204.230:5140
甘肃卫视HD,http://58.35.95.16:9898/rtp/233.18.204.110:5140
青海卫视HD,http://58.35.95.16:9898/rtp/233.18.204.112:5140
新疆卫视HD,http://58.35.95.16:9898/rtp/233.18.204.220:5140
西藏卫视HD,http://58.35.95.16:9898/rtp/233.18.204.222:5140
兵团卫视HD,http://58.35.95.16:9898/rtp/233.18.204.221:5140
三沙卫视HD,http://58.35.95.16:9898/rtp/233.18.204.172:5140
重庆卫视SD,http://58.35.95.16:9898/rtp/233.18.204.143:5140
江苏卫视SD,http://58.35.95.16:9898/rtp/233.18.204.120:5140
东方卫视SD,http://58.35.95.16:9898/rtp/233.18.204.1:5140
深圳卫视SD,http://58.35.95.16:9898/rtp/233.18.204.146:5140
北京卫视SD,http://58.35.95.16:9898/rtp/233.18.204.210:5140
北京卫视SD,http://58.35.95.16:9898/rtp/233.18.204.118:5140
山东卫视SD,http://58.35.95.16:9898/rtp/233.18.204.125:5140
天津卫视SD,http://58.35.95.16:9898/rtp/233.18.204.129:5140
贵州卫视SD,http://58.35.95.16:9898/rtp/233.18.204.144:5140
四川卫视SD,http://58.35.95.16:9898/rtp/233.18.204.124:5140
云南卫视SD,http://58.35.95.16:9898/rtp/233.18.204.136:5140
广西卫视SD,http://58.35.95.16:9898/rtp/233.18.204.123:5140
黑龙江卫视SD,http://58.35.95.16:9898/rtp/233.18.204.139:5140
安徽卫视SD,http://58.35.95.16:9898/rtp/233.18.204.127:5140
山西卫视SD,http://58.35.95.16:9898/rtp/233.18.204.132:5140
江西卫视SD,http://58.35.95.16:9898/rtp/233.18.204.130:5140
湖北卫视SD,http://58.35.95.16:9898/rtp/233.18.204.142:5140
旅游卫视SD,http://58.35.95.16:9898/rtp/233.18.204.122:5140
陕西卫视SD,http://58.35.95.16:9898/rtp/233.18.204.135:5140
东南卫视SD,http://58.35.95.16:9898/rtp/233.18.204.128:5140
吉林卫视SD,http://58.35.95.16:9898/rtp/233.18.204.131:5140
辽宁卫视SD,http://58.35.95.16:9898/rtp/233.18.204.126:5140
内蒙古卫视SD,http://58.35.95.16:9898/rtp/233.18.204.141:5140
湖南卫视SD,http://58.35.95.16:9898/rtp/233.18.204.119:5140
广东卫视SD,http://58.35.95.16:9898/rtp/233.18.204.138:5140
河南卫视SD,http://58.35.95.16:9898/rtp/233.18.204.145:5140
河北卫视SD,http://58.35.95.16:9898/rtp/233.18.204.140:5140
宁夏卫视SD,http://58.35.95.16:9898/rtp/233.18.204.117:5140
甘肃卫视SD,http://58.35.95.16:9898/rtp/233.18.204.137:5140
青海卫视SD,http://58.35.95.16:9898/rtp/233.18.204.133:5140
新疆卫视SD,http://58.35.95.16:9898/rtp/233.18.204.147:5140
西藏卫视SD,http://58.35.95.16:9898/rtp/233.18.204.134:5140
兵团卫视SD,http://58.35.95.16:9898/rtp/233.18.204.148:5140
三沙卫视SD,http://58.35.95.16:9898/rtp/233.18.204.149:5140
延边卫视SD,http://58.35.95.16:9898/rtp/233.18.204.155:5140
渐江卫视SD,http://58.35.95.16:9898/rtp/233.18.204.121:5140
重庆卫视HD,http://116.234.14.151:8188/rtp/233.18.204.100:5140
江苏卫视HD,http://116.234.14.151:8188/rtp/233.18.204.85:5140
浙江卫视HD,http://116.234.14.151:8188/rtp/233.18.204.84:5140
东方卫视HD,http://116.234.14.151:8188/rtp/233.18.204.51:5140
深圳卫视HD,http://116.234.14.151:8188/rtp/233.18.204.89:5140
北京卫视HD,http://116.234.14.151:8188/rtp/233.18.204.87:5140
山东卫视HD,http://116.234.14.151:8188/rtp/233.18.204.91:5140
天津卫视HD,http://116.234.14.151:8188/rtp/233.18.204.97:5140
贵州卫视HD,http://116.234.14.151:8188/rtp/233.18.204.101:5140
云南卫视HD,http://116.234.14.151:8188/rtp/233.18.204.106:5140
广西卫视HD,http://116.234.14.151:8188/rtp/233.18.204.107:5140
黑龙江卫视HD,http://116.234.14.151:8188/rtp/233.18.204.90:5140
安徽卫视HD,http://116.234.14.151:8188/rtp/233.18.204.93:5140
山西卫视HD,http://116.234.14.151:8188/rtp/233.18.204.211:5140
江西卫视HD,http://116.234.14.151:8188/rtp/233.18.204.95:5140
湖北卫视HD,http://116.234.14.151:8188/rtp/233.18.204.92:5140
旅游卫视HD,http://116.234.14.151:8188/rtp/233.18.204.102:5140
陕西卫视HD,http://116.234.14.151:8188/rtp/233.18.204.223:5140
东南卫视HD,http://116.234.14.151:8188/rtp/233.18.204.94:5140
吉林卫视HD,http://116.234.14.151:8188/rtp/233.18.204.108:5140
辽宁卫视HD,http://116.234.14.151:8188/rtp/233.18.204.96:5140
内蒙古卫视HD,http://116.234.14.151:8188/rtp/233.18.204.217:5140
湖南卫视HD,http://116.234.14.151:8188/rtp/233.18.204.86:5140
广东卫视HD,http://116.234.14.151:8188/rtp/233.18.204.88:5140
河南卫视HD,http://116.234.14.151:8188/rtp/233.18.204.105:5140
河北卫视HD,http://116.234.14.151:8188/rtp/233.18.204.103:5140
宁夏卫视HD,http://116.234.14.151:8188/rtp/233.18.204.230:5140
甘肃卫视HD,http://116.234.14.151:8188/rtp/233.18.204.110:5140
青海卫视HD,http://116.234.14.151:8188/rtp/233.18.204.112:5140
新疆卫视HD,http://116.234.14.151:8188/rtp/233.18.204.220:5140
西藏卫视HD,http://116.234.14.151:8188/rtp/233.18.204.222:5140
兵团卫视HD,http://116.234.14.151:8188/rtp/233.18.204.221:5140
三沙卫视HD,http://116.234.14.151:8188/rtp/233.18.204.172:5140
重庆卫视SD,http://116.234.14.151:8188/rtp/233.18.204.143:5140
江苏卫视SD,http://116.234.14.151:8188/rtp/233.18.204.120:5140
东方卫视SD,http://116.234.14.151:8188/rtp/233.18.204.1:5140
深圳卫视SD,http://116.234.14.151:8188/rtp/233.18.204.146:5140
北京卫视SD,http://116.234.14.151:8188/rtp/233.18.204.210:5140
北京卫视SD,http://116.234.14.151:8188/rtp/233.18.204.118:5140
山东卫视SD,http://116.234.14.151:8188/rtp/233.18.204.125:5140
天津卫视SD,http://116.234.14.151:8188/rtp/233.18.204.129:5140
贵州卫视SD,http://116.234.14.151:8188/rtp/233.18.204.144:5140
四川卫视SD,http://116.234.14.151:8188/rtp/233.18.204.124:5140
云南卫视SD,http://116.234.14.151:8188/rtp/233.18.204.136:5140
广西卫视SD,http://116.234.14.151:8188/rtp/233.18.204.123:5140
黑龙江卫视SD,http://116.234.14.151:8188/rtp/233.18.204.139:5140
安徽卫视SD,http://116.234.14.151:8188/rtp/233.18.204.127:5140
山西卫视SD,http://116.234.14.151:8188/rtp/233.18.204.132:5140
江西卫视SD,http://116.234.14.151:8188/rtp/233.18.204.130:5140
湖北卫视SD,http://116.234.14.151:8188/rtp/233.18.204.142:5140
旅游卫视SD,http://116.234.14.151:8188/rtp/233.18.204.122:5140
陕西卫视SD,http://116.234.14.151:8188/rtp/233.18.204.135:5140
东南卫视SD,http://116.234.14.151:8188/rtp/233.18.204.128:5140
吉林卫视SD,http://116.234.14.151:8188/rtp/233.18.204.131:5140
辽宁卫视SD,http://116.234.14.151:8188/rtp/233.18.204.126:5140
内蒙古卫视SD,http://116.234.14.151:8188/rtp/233.18.204.141:5140
湖南卫视SD,http://116.234.14.151:8188/rtp/233.18.204.119:5140
广东卫视SD,http://116.234.14.151:8188/rtp/233.18.204.138:5140
河南卫视SD,http://116.234.14.151:8188/rtp/233.18.204.145:5140
河北卫视SD,http://116.234.14.151:8188/rtp/233.18.204.140:5140
宁夏卫视SD,http://116.234.14.151:8188/rtp/233.18.204.117:5140
甘肃卫视SD,http://116.234.14.151:8188/rtp/233.18.204.137:5140
青海卫视SD,http://116.234.14.151:8188/rtp/233.18.204.133:5140
新疆卫视SD,http://116.234.14.151:8188/rtp/233.18.204.147:5140
西藏卫视SD,http://116.234.14.151:8188/rtp/233.18.204.134:5140
兵团卫视SD,http://116.234.14.151:8188/rtp/233.18.204.148:5140
三沙卫视SD,http://116.234.14.151:8188/rtp/233.18.204.149:5140
延边卫视SD,http://116.234.14.151:8188/rtp/233.18.204.155:5140
渐江卫视SD,http://116.234.14.151:8188/rtp/233.18.204.121:5140
湖南卫视HD,http://121.233.191.119:4022/rtp/239.49.8.12:9418
湖南卫视HD,http://121.233.191.119:4022/rtp/239.49.8.142:6000
江苏卫视HD,http://121.233.191.119:4022/rtp/239.49.8.16:9602
江苏卫视HD,http://121.233.191.119:4022/rtp/239.49.8.138:6000
浙江卫视HD,http://121.233.191.119:4022/rtp/239.49.8.20:9618
浙江卫视HD,http://121.233.191.119:4022/rtp/239.49.8.139:6000
东方卫视HD,http://121.233.191.119:4022/rtp/239.49.8.17:9606
东方卫视HD,http://121.233.191.119:4022/rtp/239.49.8.140:6000
深圳卫视HD,http://121.233.191.119:4022/rtp/239.49.8.15:9430
深圳卫视HD,http://121.233.191.119:4022/rtp/239.49.8.145:6000
四川卫视HD,http://121.233.191.119:4022/rtp/239.49.8.110:8000
安徽卫视HD,http://121.233.191.119:4022/rtp/239.49.8.80:8000
安徽卫视HD,http://121.233.191.119:4022/rtp/239.49.8.204:6000
北京卫视HD,http://121.233.191.119:4022/rtp/239.49.8.11:9414
北京卫视HD,http://121.233.191.119:4022/rtp/239.49.8.141:6000
东南卫视HD,http://121.233.191.119:4022/rtp/239.49.8.112:8000
广东卫视HD,http://121.233.191.119:4022/rtp/239.49.8.13:9422
广东卫视HD,http://121.233.191.119:4022/rtp/239.49.8.143:6000
重庆卫视HD,http://121.233.191.119:4022/rtp/239.49.8.57:9830
重庆卫视HD,http://121.233.191.119:4022/rtp/239.49.8.149:6000
广西卫视HD,http://121.233.191.119:4022/rtp/239.49.8.10:8000
贵州卫视HD,http://121.233.191.119:4022/rtp/239.49.8.49:8000
海南卫视HD,http://121.233.191.119:4022/rtp/239.49.8.83:8000
河北卫视HD,http://121.233.191.119:4022/rtp/239.49.8.114:8000
河北卫视HD,http://121.233.191.119:4022/rtp/239.49.8.188:6000
河南卫视HD,http://121.233.191.119:4022/rtp/239.49.8.29:8000
湖北卫视HD,http://121.233.191.119:4022/rtp/239.49.8.8:9632
湖北卫视HD,http://121.233.191.119:4022/rtp/239.49.8.147:6000
吉林卫视HD,http://121.233.191.119:4022/rtp/239.49.8.113:8000
江西卫视HD,http://121.233.191.119:4022/rtp/239.49.8.111:8000
江西卫视HD,http://121.233.191.119:4022/rtp/239.49.8.185:6000
辽宁卫视HD,http://121.233.191.119:4022/rtp/239.49.8.48:8000
宁夏卫视HD,http://121.233.191.119:4022/rtp/239.49.1.60:8000
青海卫视HD,http://121.233.191.119:4022/rtp/239.49.0.81:8000
三沙卫视HD,http://121.233.191.119:4022/rtp/239.49.0.167:8000
山东卫视HD,http://121.233.191.119:4022/rtp/239.49.8.7:9306
山东卫视HD,http://121.233.191.119:4022/rtp/239.49.8.146:6000
